emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,9999-01-01
10066,Kwee,Schusler,M,69736,9999-01-01
10072,Hironoby,Sidou,F,40000,9999-01-01
10076,Erez,Ritzmann,F,47319,9999-01-01
10103,Akemi,Birch,M,68158,9999-01-01
10129,Armond,Peir,M,40000,9999-01-01
10150,Zhenbing,Perng,F,70122,9999-01-01
10153,Heekeun,Majewski,M,54246,9999-01-01
10157,Nigel,Aloisi,M,48770,9999-01-01
10198,Pranav,Furedi,M,44076,9999-01-01
10258,Basil,Ishibashi,F,66280,9999-01-01
10283,Kauko,Birjandi,M,40000,9999-01-01
10396,Sibyl,Rahier,M,40393,9999-01-01
10404,Prodip,Rosti,F,51647,9999-01-01
10426,Arunas,Luce,F,65757,9999-01-01
10429,Martien,Improta,F,40000,9999-01-01
10628,Krisda,Krogh,M,41650,9999-01-01
10631,Inderjeet,Chaudhuri,M,40000,9999-01-01
10642,Hirochika,Narlikar,M,40000,9999-01-01
10653,Otmar,Feinberg,M,40000,9999-01-01
10676,Valeri,Danley,F,58226,9999-01-01
10702,Bader,Szemeredi,M,46581,9999-01-01
10718,Adib,Rullman,M,75473,9999-01-01
10726,Zita,Minakawa,F,46315,9999-01-01
10791,Tadahiko,Sgarro,M,40000,9999-01-01
10808,Chenxi,Leijenhorst,M,40000,9999-01-01
10844,Dipayan,Koprowski,M,40000,9999-01-01
10879,Muzhong,Chleq,F,65651,9999-01-01
10909,Georgi,Atchley,M,80935,9999-01-01
10943,Berna,Skafidas,M,45890,9999-01-01
10969,Premal,Noriega,M,40000,9999-01-01
10974,Muneo,Papsdorf,M,56005,9999-01-01
10986,Masako,Schiper,M,43900,9999-01-01
10988,Chinya,Deyuan,M,54174,9999-01-01
10990,Shin,Foote,M,40000,9999-01-01
11019,Leon,Huttel,M,69387,9999-01-01
11042,Gou,Breugel,F,40000,9999-01-01
11106,Aris,Iwayama,F,71446,9999-01-01
11121,Vugranam,Kakkad,F,40000,9999-01-01
11137,Hugh,Luca,M,40000,9999-01-01
11162,Kauko,Narlikar,F,69873,9999-01-01
11180,Mitsuyuki,Bojadziev,F,40000,9999-01-01
11207,Saeed,Gips,F,49728,9999-01-01
11240,Kiam,Condotta,M,61739,9999-01-01
11249,Randi,Cyre,M,43324,9999-01-01
11275,Hitomi,Eppinger,F,58382,9999-01-01
11290,Visit,Dredge,M,65034,9999-01-01
11319,Pranas,Marrakchi,F,40000,9999-01-01
11347,Anneli,Jonsson,M,41524,9999-01-01
11380,Kenroku,Pelc,M,53345,9999-01-01
11404,Bedrich,Borovoy,M,42907,9999-01-01
11509,Aleksander,Feldhoffer,M,40000,9999-01-01
11524,Xiadong,Standera,M,41081,9999-01-01
11568,Martins,Fujisaki,M,54673,9999-01-01
11640,Valeri,Coorg,M,52520,9999-01-01
11647,Magy,Nitsche,M,40000,9999-01-01
11769,Chandrasekaran,Lampe,M,40000,9999-01-01
11772,Gaurav,Penz,F,61295,9999-01-01
11810,Amabile,Bhattacharjee,M,41256,9999-01-01
11832,Arto,Zlotek,M,40000,9999-01-01
11844,Shawna,Demeyer,M,78049,9999-01-01
11871,Nalini,Sommen,M,67424,9999-01-01
11894,Mitchel,Validov,M,56198,9999-01-01
11906,Hideo,Boguraev,F,81324,9999-01-01
11933,Basil,Erman,M,56130,9999-01-01
11983,Jaana,Hedayat,M,40000,9999-01-01
12069,Ayonca,Burnard,M,51928,9999-01-01
12070,Ger,Shokrollahi,M,50233,9999-01-01
12159,Shem,Perly,M,61210,9999-01-01
12165,Xiaobin,Maquelin,F,41951,9999-01-01
12205,Sushant,Rossi,M,40000,9999-01-01
12206,Barton,Janetzko,F,40000,9999-01-01
12221,Vincent,Melter,M,56736,9999-01-01
12247,Subbu,Penttonen,F,59183,9999-01-01
12249,Eldridge,Sadowski,M,70099,9999-01-01
12264,Mart,Pagter,M,51816,9999-01-01
12311,Susanne,Lubachevsky,M,40000,9999-01-01
12327,DAIDA,Bruckman,M,67449,9999-01-01
12341,Rasiah,Luga,M,40000,9999-01-01
12475,Filipe,Roison,M,40000,9999-01-01
12489,Arnould,Munck,F,63306,9999-01-01
12490,Jackson,Muchinsky,F,40000,9999-01-01
12514,Tomofumi,Melter,M,54241,9999-01-01
12589,Anoosh,Chleq,M,59441,9999-01-01
12601,Ghassan,Simkin,M,41714,9999-01-01
12638,Yuqun,Seiwald,F,56677,9999-01-01
12662,Leucio,Alvarado,M,69016,9999-01-01
12663,Nobuyoshi,Stellhorn,M,49966,9999-01-01
12689,Luerbio,Boudaillier,M,59689,9999-01-01
12709,Ronghao,Botman,M,45510,9999-01-01
12726,Fumitake,Panwar,M,61177,9999-01-01
12734,Gil,Frijda,M,40000,9999-01-01
