emp_no,first_name,last_name,gender,salary,to_date
10053,Sanjiv,Zschoche,F,67854,9999-01-01
10215,Xiaobin,Duclos,M,43944,9999-01-01
10355,Satyanarayana,Cochrane,M,70434,9999-01-01
10463,Ung,Zaiane,M,66480,9999-01-01
10504,Xiong,Varker,M,43931,9999-01-01
10767,Monique,Doering,F,40651,9999-01-01
10795,Supot,Naudin,M,84206,9999-01-01
10878,Lakshmi,Deville,M,72102,9999-01-01
10924,Hironoby,Atchley,F,84783,9999-01-01
10965,Eckart,Braunschweig,M,61654,9999-01-01
11009,Alper,Axelband,F,75111,9999-01-01
11048,Jaques,Demke,M,65697,9999-01-01
11146,Ishfaq,Masand,F,96019,9999-01-01
11197,Tadahiro,Fordan,M,88741,9999-01-01
11338,Kwangsub,Hanratty,M,82210,9999-01-01
11441,Marlo,Aingworth,M,67352,9999-01-01
11506,Rance,Picel,F,89747,9999-01-01
11515,Ulf,Basawa,F,70182,9999-01-01
11537,DAIDA,Pehl,M,96023,9999-01-01
11567,Teiji,Mitzlaff,M,86261,9999-01-01
11615,Shem,Isaak,F,46591,9999-01-01
11660,Gill,Stenning,F,65758,9999-01-01
11696,Dante,Rothe,M,51633,9999-01-01
11746,Koichi,Marrakchi,F,55951,9999-01-01
11817,Niranjan,Markovitch,M,50638,9999-01-01
11857,Divier,Farrag,F,94805,9999-01-01
11897,Cordelia,Setlzner,M,80049,9999-01-01
12011,Zhilian,Coorg,F,85833,9999-01-01
12036,Mads,Ratzlaff,M,67143,9999-01-01
12076,Karlis,Siprelle,F,75381,9999-01-01
12082,Xinan,Yamaashi,M,72118,9999-01-01
12099,Nobuyoshi,Kuzuoka,M,104610,9999-01-01
12149,Suebskul,Grandbois,M,109934,9999-01-01
12373,Mooi,Driscoll,F,75986,9999-01-01
12399,Mihalis,Luga,M,85582,9999-01-01
12411,Shao,Ibel,M,97610,9999-01-01
12454,Kerryn,Farris,F,41347,9999-01-01
12464,Shai,Milicic,F,50448,9999-01-01
12497,Stein,Penz,M,81191,9999-01-01
12541,Shih,Nanard,M,93105,9999-01-01
12651,Pragnesh,Bael,M,75150,9999-01-01
12732,Mara,Takanami,M,74436,9999-01-01
12790,Gunilla,Perl,F,87760,9999-01-01
12798,Lillian,Beeson,F,81145,9999-01-01
