emp_no,first_name,last_name,dept_no,title
10001,Georgi,Facello,d005,Senior Engineer
10004,Chirstian,Koblick,d004,Senior Engineer
10005,Kyoichi,Maliniak,d003,Senior Staff
10006,Anneke,Preusig,d005,Senior Engineer
10009,Sumant,Peac,d006,Senior Engineer
10018,Kazuhide,Peha,d005,Senior Engineer
10019,Lillian,Haddadi,d008,Staff
10020,Mayuko,Warwick,d004,Engineer
10022,Shahaf,Famili,d005,Engineer
10023,Bojan,Montemayor,d005,Engineer
10026,Yongqiao,Berztiss,d004,Senior Engineer
10035,Alain,Chappelet,d004,Senior Engineer
10047,Zvonko,Nyanchama,d004,Senior Engineer
10051,Hidefumi,Caine,d004,Senior Engineer
10053,Sanjiv,Zschoche,d007,Senior Staff
10057,Ebbe,Callaway,d005,Senior Engineer
10058,Berhard,McFarlin,d001,Senior Staff
10059,Alejandro,McAlpine,d002,Senior Staff
10063,Gino,Leonhardt,d004,Senior Engineer
10066,Kwee,Schusler,d005,Senior Engineer
10067,Claudi,Stavenow,d006,Senior Engineer
10070,Reuven,Garigliano,d008,Technique Leader
10072,Hironoby,Sidou,d005,Senior Engineer
10074,Mokhtar,Bernatsky,d005,Technique Leader
10076,Erez,Ritzmann,d005,Senior Engineer
10088,Jungsoon,Syrzycki,d009,Senior Staff
10091,Amabile,Gomatam,d005,Senior Engineer
10096,Jayson,Mandell,d004,Engineer
10097,Remzi,Waschkowski,d008,Senior Staff
10100,Hironobu,Haraldson,d003,Senior Staff
10103,Akemi,Birch,d005,Engineer
10106,Eben,Aingworth,d004,Senior Engineer
10126,Kayoko,Valtorta,d009,Senior Staff
10127,Subir,Baja,d005,Senior Engineer
10129,Armond,Peir,d005,Technique Leader
10130,Nishit,Casperson,d004,Senior Engineer
10134,Diederik,Siprelle,d005,Senior Engineer
10138,Perry,Shimshoni,d006,Senior Engineer
10150,Zhenbing,Perng,d005,Senior Engineer
10153,Heekeun,Majewski,d005,Assistant Engineer
10157,Nigel,Aloisi,d005,Senior Engineer
10159,Serif,Buescher,d006,Senior Engineer
10160,Debatosh,Khasidashvili,d007,Senior Staff
10163,Karsten,Szmurlo,d003,Senior Staff
10166,Samphel,Siegrist,d005,Engineer
10183,Mechthild,Bonifati,d009,Staff
10194,Josyula,Hofmeyr,d002,Senior Staff
10196,Marc,Hellwagner,d002,Staff
10198,Pranav,Furedi,d005,Senior Engineer
10203,Steen,Escriba,d008,Senior Staff
10205,Mabhin,Leijenhorst,d004,Senior Engineer
10207,Girolamo,Anandan,d005,Senior Engineer
10215,Xiaobin,Duclos,d007,Senior Staff
10219,Genta,Kolvik,d009,Senior Staff
10224,Leon,Trogemann,d004,Senior Engineer
10228,Karoline,Cesareni,d007,Senior Staff
10230,Clyde,Vernadat,d008,Senior Staff
10233,Lein,Vendrig,d003,Senior Staff
10239,Nikolaos,Llado,d001,Staff
10240,Remko,Maccarone,d006,Engineer
10248,Frederique,Tempesti,d007,Senior Staff
10249,Marie,Boreale,d008,Senior Engineer
10258,Basil,Ishibashi,d005,Senior Engineer
10262,Mahendra,Maraist,d007,Staff
10272,Yishai,Cannane,d002,Staff
10281,Moty,Kusakari,d006,Senior Engineer
10282,Hercules,Benzmuller,d004,Engineer
10283,Kauko,Birjandi,d005,Senior Engineer
10284,Masali,Murrill,d004,Engineer
10295,Kristine,Velardi,d002,Senior Staff
10298,Dietrich,DuCasse,d008,Staff
10306,Heng,Kilgour,d007,Staff
10307,Nikolaos,Leaver,d006,Engineer
10322,Isamu,Dahlbom,d005,Senior Engineer
10325,Arunachalam,Badr,d003,Senior Staff
10326,Masali,Czap,d008,Staff
10328,Serenella,Kawashima,d005,Engineer
10333,Snehasis,Dymetman,d005,Senior Engineer
10340,Djelloul,Laventhal,d001,Senior Staff
10343,Dinah,Syrzycki,d006,Senior Engineer
10347,Pradeep,Kaminger,d008,Staff
10349,Oksana,Brodie,d009,Senior Staff
10353,Phule,Hammerschmidt,d001,Senior Staff
10355,Satyanarayana,Cochrane,d007,Staff
10356,Vasilis,Standera,d008,Senior Staff
10358,Qunsheng,Tagansky,d005,Technique Leader
10364,Nakhoon,Dengi,d004,Senior Engineer
10367,Hyuckchul,Gini,d001,Senior Staff
10372,Anneli,Frijda,d004,Technique Leader
10377,Marl,Grospietsch,d004,Senior Engineer
10387,Parto,Wrigley,d009,Senior Staff
10388,Hironoby,Kaiser,d007,Staff
10389,Make,Peir,d005,Technique Leader
10396,Sibyl,Rahier,d005,Senior Engineer
10397,Irena,Reutenauer,d004,Technique Leader
10402,Volkmar,Ebeling,d006,Technique Leader
10404,Prodip,Rosti,d005,Senior Engineer
10407,Ulf,Siepmann,d007,Senior Staff
10413,Danel,Impagliazzo,d003,Senior Staff
10418,Candida,Porotnikoff,d001,Staff
10422,Greger,Rubsam,d006,Engineer
10426,Arunas,Luce,d005,Technique Leader
10429,Martien,Improta,d005,Senior Engineer
10432,Hisao,Tiemann,d009,Senior Staff
10433,Reuven,Dengi,d006,Engineer
10451,Bodh,Ranta,d004,Senior Engineer
10453,Tsvetan,Matzel,d009,Senior Staff
10463,Ung,Zaiane,d007,Staff
10477,Guoxiang,Trogemann,d005,Senior Engineer
10486,Amstein,Kossowski,d006,Senior Engineer
10494,Yakkov,Servieres,d004,Senior Engineer
10497,Pramod,Rabehasaina,d004,Senior Engineer
10499,Maik,Luft,d007,Senior Staff
10503,Dannz,Pell,d004,Engineer
10504,Xiong,Varker,d007,Staff
10509,Abdelwaheb,Riesenhuber,d007,Senior Staff
10512,Udi,Gihr,d003,Senior Staff
10517,Tiina,Speek,d007,Senior Staff
10522,Marke,Cesareni,d003,Senior Staff
10529,Ymte,Yetto,d005,Assistant Engineer
10531,Oguz,Gimbel,d003,Staff
10542,Yannis,Couchot,d005,Senior Engineer
10548,Ramalingam,Gunderson,d007,Senior Staff
10552,Kazuhito,Shiratori,d004,Senior Engineer
10564,Jianhao,Thisen,d004,Senior Engineer
10568,Gao,Poulakidas,d007,Staff
10586,Kirk,Vuskovic,d004,Senior Engineer
10593,Falguni,Kenevan,d005,Senior Engineer
10596,Sanjit,Coors,d007,Senior Staff
10603,Wayne,Restivo,d007,Staff
10610,Irena,Roccetti,d005,Engineer
10614,Gila,Ozeri,d009,Senior Engineer
10615,Keung,Delgrande,d002,Senior Staff
10623,Aleksander,Danlos,d008,Senior Engineer
10624,Sham,Gyorkos,d004,Technique Leader
10628,Krisda,Krogh,d005,Senior Engineer
10630,Bezalel,Katzenelson,d004,Engineer
10631,Inderjeet,Chaudhuri,d005,Engineer
10634,Nahid,Chepyzhov,d008,Senior Engineer
10636,Saeko,Porotnikoff,d003,Staff
10639,Pramod,Erol,d005,Senior Engineer
10641,Guozhong,Zucker,d005,Engineer
10642,Hirochika,Narlikar,d005,Engineer
10653,Otmar,Feinberg,d005,Senior Engineer
10667,Makato,Cusworth,d009,Senior Staff
10671,Parviz,Rebaine,d003,Senior Staff
10676,Valeri,Danley,d005,Engineer
10683,Guiseppe,Stranks,d004,Senior Engineer
10693,Berhard,Daescu,d009,Senior Staff
10696,Unal,Fendler,d005,Technique Leader
10702,Bader,Szemeredi,d005,Senior Engineer
10712,Uma,Koprowski,d005,Senior Engineer
10718,Adib,Rullman,d005,Senior Engineer
10726,Zita,Minakawa,d005,Senior Engineer
10734,Sachar,Erdi,d004,Engineer
10741,Sven,Huttel,d001,Senior Staff
10742,Shim,Wiegley,d005,Technique Leader
10745,Poorav,Ranze,d004,Senior Engineer
10749,King,Brendel,d004,Senior Engineer
10750,Roddy,Demeyer,d005,Technique Leader
10764,Yunming,Beetstra,d005,Senior Engineer
10767,Monique,Doering,d007,Staff
10768,Ishfaq,Candan,d004,Senior Engineer
10778,Selwyn,Merey,d001,Senior Staff
10791,Tadahiko,Sgarro,d005,Senior Engineer
10795,Supot,Naudin,d007,Senior Staff
10808,Chenxi,Leijenhorst,d005,Senior Engineer
10811,Ashish,Fortenbacher,d004,Engineer
10813,Shalesh,Shumilov,d007,Senior Staff
10814,Nidapan,Dymetman,d007,Senior Staff
10826,Arnd,Anandan,d005,Senior Engineer
10827,Willard,Danley,d002,Staff
10830,Fen,Fiebach,d001,Senior Staff
10831,Toong,Driscoll,d005,Technique Leader
10833,Krisda,Gecseg,d006,Technique Leader
10834,Huiqun,Rajcani,d004,Engineer
10835,Tomoyuki,Kermarrec,d004,Engineer
10836,Jianhua,Leivant,d009,Senior Staff
10844,Dipayan,Koprowski,d005,Engineer
10846,Tokuyasu,Serre,d008,Senior Engineer
10847,Theirry,Danley,d008,Senior Staff
10848,Fen,Bratsberg,d004,Senior Engineer
10849,Makato,Mayerwieser,d005,Engineer
10854,Jagoda,Nannarelli,d005,Engineer
10858,Kenroku,Gonthier,d005,Senior Engineer
10871,Aram,Gilg,d009,Staff
10872,Karoline,Speel,d002,Senior Staff
10873,Sukumar,Wegerle,d002,Staff
10878,Lakshmi,Deville,d007,Staff
10879,Muzhong,Chleq,d005,Senior Engineer
10882,Fun,Heuser,d005,Engineer
10883,Shimshon,Champarnaud,d004,Engineer
10885,Rayond,Cronau,d007,Senior Staff
10887,Lunjin,DeMori,d005,Senior Engineer
10900,Ferdinand,Prenel,d005,Senior Engineer
10906,Munehiro,Carrere,d007,Staff
10909,Georgi,Atchley,d005,Senior Engineer
10913,Narain,Thummel,d002,Staff
10920,Ronghao,Narahara,d003,Senior Staff
10921,Mara,Bahi,d004,Senior Engineer
10924,Hironoby,Atchley,d007,Senior Staff
10926,Leni,Eppinger,d009,Senior Engineer
10927,Gal,Scallan,d001,Senior Staff
10930,Arch,Minakawa,d004,Senior Engineer
10932,Avishai,Picci,d005,Senior Engineer
10936,Mountaz,Schicker,d003,Senior Staff
10942,Toshimitsu,Larfeldt,d005,Engineer
10943,Berna,Skafidas,d005,Senior Engineer
10944,Remko,Zyda,d004,Senior Engineer
10947,Gor,Usery,d009,Senior Staff
10949,Shigeichiro,Wroclawski,d002,Senior Staff
10956,Arno,Picel,d005,Engineer
10965,Eckart,Braunschweig,d007,Senior Staff
10969,Premal,Noriega,d005,Senior Engineer
10974,Muneo,Papsdorf,d005,Senior Engineer
10986,Masako,Schiper,d005,Technique Leader
10987,Flemming,Baezner,d005,Engineer
10988,Chinya,Deyuan,d005,Senior Engineer
10989,Sumali,Candan,d002,Senior Staff
10990,Shin,Foote,d005,Technique Leader
10996,Matk,Rahimi,d007,Senior Staff
11004,JoAnna,Decleir,d006,Senior Engineer
11009,Alper,Axelband,d007,Senior Staff
11012,Taegyun,Speckmann,d009,Staff
11019,Leon,Huttel,d005,Senior Engineer
11021,Srinidhi,Henders,d008,Staff
11027,Remzi,Cappello,d004,Senior Engineer
11031,Ottavia,Walstra,d001,Senior Staff
11032,Erez,Schaaf,d009,Staff
11037,Lansing,Maliniak,d004,Senior Engineer
11038,Jinya,Beidas,d008,Senior Staff
11042,Gou,Breugel,d005,Senior Engineer
11048,Jaques,Demke,d007,Senior Staff
11050,Elvis,Katiyar,d001,Senior Staff
11051,Przemyslawa,Erol,d004,Senior Engineer
11056,Palash,Speel,d007,Staff
11061,Pintsang,Erni,d007,Senior Staff
11064,Shawna,Vieri,d004,Senior Engineer
11066,Shaz,Langford,d002,Senior Staff
11070,Adib,Raney,d006,Senior Engineer
11071,Kwan,Sigstam,d005,Senior Engineer
11075,Karsten,Belinskaya,d004,Senior Engineer
11079,Piyush,Garigliano,d005,Senior Engineer
11081,Barry,Boyle,d002,Senior Staff
11083,Shimshon,Ducloy,d003,Senior Staff
11084,Greger,Senzako,d004,Senior Engineer
11085,Hailing,Thummel,d004,Senior Engineer
11087,Changho,Jayawardene,d004,Senior Engineer
11089,Conal,Henders,d007,Senior Staff
11091,Souichi,Ramsay,d004,Engineer
11092,Narain,Stamatiou,d007,Staff
11098,Arnd,Covnot,d005,Engineer
11100,Berna,Cochrane,d008,Senior Staff
11106,Aris,Iwayama,d005,Senior Engineer
11111,Udi,Zastre,d004,Assistant Engineer
11112,Boaz,Mukaidono,d009,Staff
11113,Shahab,Peng,d001,Senior Staff
11121,Vugranam,Kakkad,d005,Senior Engineer
11130,Xinyu,Menhoudj,d003,Senior Staff
11132,Kristin,Harnett,d004,Senior Engineer
11133,Nalini,Azulay,d006,Technique Leader
11134,Sachar,Rajcani,d006,Senior Engineer
11137,Hugh,Luca,d005,Engineer
11139,Bogdan,Homond,d009,Senior Staff
11143,Yongdong,Rosen,d005,Engineer
11144,Carrsten,Heinisuo,d007,Senior Staff
11146,Ishfaq,Masand,d007,Senior Staff
11147,Ayonca,Nitsch,d005,Engineer
11148,Zhanqiu,Botman,d003,Senior Staff
11158,Masaki,Hagimont,d004,Senior Engineer
11162,Kauko,Narlikar,d005,Senior Engineer
11168,Shmuel,Tetzlaff,d007,Senior Staff
11170,Minghong,Cannard,d005,Senior Engineer
11174,Akhilish,Milicia,d004,Engineer
11177,Chrisa,dAstous,d005,Senior Engineer
11180,Mitsuyuki,Bojadziev,d005,Senior Engineer
11181,Hausi,Cullers,d005,Engineer
11185,Aloys,Baezner,d009,Senior Staff
11186,Kshitij,Stasinski,d004,Senior Engineer
11189,Dante,Bodoff,d007,Senior Staff
11192,Apostol,Bahr,d006,Engineer
11197,Tadahiro,Fordan,d007,Senior Staff
11201,Jouko,Masaki,d008,Staff
11204,Diederik,Covnot,d004,Technique Leader
11207,Saeed,Gips,d005,Engineer
11208,Saniya,Valtorta,d004,Technique Leader
11211,Yurij,Rissland,d004,Senior Engineer
11213,Vugranam,Munoz,d004,Technique Leader
11217,Kellie,Mawatari,d004,Senior Engineer
11229,Gretta,Ramamoorthy,d006,Senior Engineer
11232,Hidefumi,Crelier,d009,Senior Staff
11233,Sanjit,Waschkowski,d005,Senior Engineer
11240,Kiam,Condotta,d005,Engineer
11243,Udi,Desikan,d004,Assistant Engineer
11249,Randi,Cyre,d005,Engineer
11251,Bezalel,Chinal,d001,Senior Staff
11253,Koldo,Pokrovskii,d005,Senior Engineer
11254,Danel,Rindone,d007,Staff
11258,Aris,Maccarone,d009,Senior Staff
11266,Florina,Rohrbach,d006,Senior Engineer
11267,Shaunak,Zaumen,d008,Senior Engineer
11268,Aimee,Petersohn,d004,Senior Engineer
11274,Masanao,Nicolson,d009,Staff
11275,Hitomi,Eppinger,d005,Senior Engineer
11289,Chuanti,Cherinka,d005,Senior Engineer
11290,Visit,Dredge,d005,Engineer
11292,Souichi,Sichman,d005,Senior Engineer
11294,Tru,Segond,d005,Senior Engineer
11295,Abdelkader,Lanzelotte,d002,Senior Staff
11296,Hironobu,Kenevan,d004,Senior Engineer
11301,Mingzeng,Oxenboll,d003,Senior Staff
11317,Shigeaki,Hagimont,d008,Senior Staff
11319,Pranas,Marrakchi,d005,Assistant Engineer
11320,Atilio,McAlpine,d001,Senior Staff
11322,Nathalie,Pocchiola,d006,Senior Engineer
11324,Kauko,Billingsley,d004,Senior Engineer
11325,Samphel,Rossi,d005,Engineer
11326,Munenori,Plesums,d005,Senior Engineer
11338,Kwangsub,Hanratty,d007,Senior Staff
11339,Flemming,Massonet,d004,Senior Engineer
11340,Aris,Bala,d004,Senior Engineer
11343,Susanne,Erez,d005,Senior Engineer
11347,Anneli,Jonsson,d005,Senior Engineer
11349,Yurii,Hammerschmidt,d004,Engineer
11360,Fen,Schach,d007,Senior Staff
11365,Toshimi,Shinomoto,d004,Engineer
11373,Yongmao,Keohane,d009,Senior Staff
11376,Valery,Suomi,d008,Senior Staff
11380,Kenroku,Pelc,d005,Senior Engineer
11385,Shiv,Ullian,d004,Engineer
11386,Alselm,Assaf,d006,Senior Engineer
11393,Junsik,Junot,d004,Senior Engineer
11396,Anneke,Servieres,d005,Engineer
11398,Oscar,Peir,d002,Senior Staff
11401,Huan,Merey,d007,Staff
11404,Bedrich,Borovoy,d005,Technique Leader
11406,Eberhardt,Gini,d008,Senior Staff
11410,Gro,Vendrig,d005,Engineer
11415,Sanjiv,Anido,d004,Engineer
11417,Anneli,Cyne,d006,Technique Leader
11418,Satosi,Cooley,d003,Senior Staff
11420,Tsutomu,Lalonde,d003,Senior Staff
11421,Josyula,Msuda,d004,Senior Engineer
11423,Guangming,Kopetz,d009,Staff
11425,Renee,Crelier,d005,Senior Engineer
11441,Marlo,Aingworth,d007,Senior Staff
11446,Naftali,Narahara,d006,Senior Engineer
11449,Kotesh,Asser,d004,Senior Engineer
11451,Eben,Rajaraman,d004,Senior Engineer
11452,Shigehito,Luby,d009,Senior Staff
